customer_id,first_name,last_name,email,signup_date
1001,John,Doe,john.doe@example.com,2024-12-01
1002,Jane,Smith,jane.smith@example.com,2025-01-01
1003,Alice,Brown,alice.brown@example.com,2025-01-02
1004,Bob,Davis,bob.davis@example.com,2025-01-03
1005,First0,Last0,user0@example.com,2023-01-01
1006,First1,Last1,user1@example.com,2023-01-02
1007,First2,Last2,user2@example.com,2023-01-03
1008,First3,Last3,user3@example.com,2023-01-04
1009,First4,Last4,user4@example.com,2023-01-05
1010,First5,Last5,user5@example.com,2023-01-06
1011,First6,Last6,user6@example.com,2023-01-07
1012,First7,Last7,user7@example.com,2023-01-08
1013,First8,Last8,user8@example.com,2023-01-09
1014,First9,Last9,user9@example.com,2023-01-10
